2021-11-16 15:52:15 INFO Benchmarking |ClosingStrategy: CloseFirst
2021-11-16 15:52:15 INFO Benchmarking |ObservationTableCEXHandler: RivestSchapire
2021-11-16 15:52:15 INFO Benchmarking |SUL name: GnuTLS_3.3.8_server_full.dot
2021-11-16 15:52:15 INFO Benchmarking |SUL dir: C:\Users\damas\GitHub\cttlearn\src\cttlearning\..\..\experiments\2021_11_ctt_automatawiki\benchmarks\TLS\GnuTLS_3.3.8_server_full.dot
2021-11-16 15:52:15 INFO Benchmarking |Output dir: ..\..\experiments\2021_11_ctt_automatawiki\benchmarks\TLS
2021-11-16 15:52:15 INFO Benchmarking |Seed: 1637074335618
2021-11-16 15:52:15 INFO Benchmarking |Cache: N
2021-11-16 15:52:15 INFO Benchmarking |EquivalenceOracle: WMethodQsizeEQOracle(0)
2021-11-16 15:52:15 INFO Benchmarking |Method: L*M
2021-11-16 15:52:15 INFO Experiment |Starting round 1
2021-11-16 15:52:15 INFO Experiment |Learning
2021-11-16 15:52:15 INFO Experiment |Searching for counterexample
2021-11-16 15:52:16 INFO Benchmarking |Rounds: 1
2021-11-16 15:52:16 INFO Benchmarking |MQ [Resets]: 1463
2021-11-16 15:52:16 INFO Benchmarking |MQ [Symbols]: 6358
2021-11-16 15:52:16 INFO Benchmarking |EQ [Resets]: 726
2021-11-16 15:52:16 INFO Benchmarking |EQ [Symbols]: 3234
2021-11-16 15:52:16 INFO SimpleProfiler |Learning [ms]: 12
2021-11-16 15:52:16 INFO SimpleProfiler |Searching for counterexample [ms]: 28
2021-11-16 15:52:16 INFO Benchmarking |Qsize: 16
2021-11-16 15:52:16 INFO Benchmarking |Isize: 11
2021-11-16 15:52:16 INFO Benchmarking |Equivalent: NOK
2021-11-16 15:52:16 INFO Benchmarking |Info: N/A
